# source: TM-100991 pdf p.96, Figure C25
# quantity: F_HM2 -- HMU power-available input schedule (Fig. C16, pdf p.91:
#    WFPRF = F_HM2(PAS)). One of the eight Appendix C scheduling functions,
#    which exist ONLY as plots -- Appendix C prints no equations and no tables
# method: digitized -- generative model fit of the 11 printed 'x' glyphs
# x: PAS power available spindle angle, degrees
# y: WFPRF fuel flow power-available parameter, nondimensional (no unit printed)
# sigma_x: 1 sigma uncertainty on x, in x's own units, per point (see UNCERTAINTY)
# sigma_y: 1 sigma uncertainty on y, in y's own units, per point (see UNCERTAINTY)
# points: 11
# digitized: 2026-09-11 by tools/digitize_a6810.py -- reruns and reproduces this file
#            exactly; a first extraction, with no earlier version to compare against
#
# RASTER. `pdfimages -list -f 96` shows pdf p.96 is a single 300 dpi
# 1-bit CCITT image (2544x3300), so every render above 300 dpi is an upsample of that
# bitmap and can add no detail. This extraction works on the bitmap itself, pulled out
# with `pdfimages`, and takes its sub-pixel information from a model fitted to the binary
# ink rather than from interpolated grey. The page is NOT resampled at any point: the
# scan's rotation and keystone are a coordinate transform applied to the measured points,
# not a warp applied to the pixels, so no interpolation ever touches the data.
#
# GEOMETRY. The four frame lines are fitted sub-pixel by tracing the single ink run per
# row/column and least-squares fitting with outlier rejection:
#   left   x = 467.115 -0.005440 y   (-0.312 deg, 1756 samples, rms 0.90 px)
#   right  x = 2132.490 -0.008390 y   (-0.481 deg, 1666 samples, rms 1.01 px)
#   top    y = 311.869 +0.012314 x   (+0.705 deg, 1460 samples, rms 0.73 px)
#   bottom y = 2647.816 +0.013216 x   (+0.757 deg, 1145 samples, rms 0.44 px)
# The four edge slopes are not a common rotation, so the frame is a genuine
# quadrilateral; corners TL(465.387,317.600) TR(2129.653,338.093)
# BR(2110.042,2675.703) BL(452.677,2653.798) are mapped onto the unit
# square (u right, v up) by a homography, and every measured point is carried through
# it. NOT `digitize.py axes`, and NOT a pixel warp -- nothing is resampled.
#
# CALIBRATION. Every printed MAJOR tick on all four edges, located by the ink-weighted
# centroid of its inward protrusion, and matched to its printed value by predicted
# lattice slot rather than by protrusion length -- a marker sitting ON a frame line
# out-protrudes a major tick, and a flat data line protrudes the whole scan length.
#   x majors every 20 (4 interior, read off the top and bottom edges);
#   y majors every 1 (13 interior, off the left and right edges).
#   x axis: LINEAR in u, where u = 0 at the left frame and 1 at the right frame.
#      x = +100.08171 u +20.002137
#      Fitted on 8 interior major ticks (both ticked edges) plus the frame
#      value(s) left = 20, right = 120;
#      residual rms 0.1147, i.e. 1.15 per-mille of the axis range.
#      HELD-OUT FRAME TEST -- fit the interior majors ALONE, then predict the printed
#      value at the frame, which the fit was never given (leave-one-tick-out rms is
#      shown beside it, as an independent check that the order is not fitting noise):
#        order 1 (linear   ): lo frame printed 20 -> 19.9209 (-0.0791)
#                             hi frame printed 120 -> 120.208 (+0.208)
#                             leave-one-tick-out 1.747 per-mille of range
#        order 2 (quadratic): lo frame printed 20 -> 19.9663 (-0.0337)
#                             hi frame printed 120 -> 120.254 (+0.254)
#                             leave-one-tick-out 2.132 per-mille of range
#        order 3 (cubic    ): lo frame printed 20 -> 20.3922 (+0.392)
#                             hi frame printed 120 -> 119.823 (-0.177)
#                             leave-one-tick-out 2.419 per-mille of range
#        order 4 (quartic  ): lo frame printed 20 -> -37.7418 (-57.7)
#                             hi frame printed 120 -> 60.9628 (-59)
#                             leave-one-tick-out 5.200 per-mille of range
#      -> order 1 wins the held-out test among the orders that also interpolate the
#         ticks as well as the best one does; ties within 1.25x go to the lower order.
#   y axis: LINEAR in v, where v = 0 at the bottom frame and 1 at the top frame.
#      y = +14.010466 v -2.0015112
#      Fitted on 26 interior major ticks (both ticked edges) plus the frame
#      value(s) bottom = -2, top = 12;
#      residual rms 0.03722, i.e. 2.66 per-mille of the axis range.
#      HELD-OUT FRAME TEST -- fit the interior majors ALONE, then predict the printed
#      value at the frame, which the fit was never given (leave-one-tick-out rms is
#      shown beside it, as an independent check that the order is not fitting noise):
#        order 1 (linear   ): lo frame printed -2 -> -2.00376 (-0.00376)
#                             hi frame printed 12 -> 12.0124 (+0.0124)
#                             leave-one-tick-out 3.247 per-mille of range
#        order 2 (quadratic): lo frame printed -2 -> -1.99064 (+0.00936)
#                             hi frame printed 12 -> 12.0256 (+0.0256)
#                             leave-one-tick-out 3.578 per-mille of range
#        order 3 (cubic    ): lo frame printed -2 -> -2.05352 (-0.0535)
#                             hi frame printed 12 -> 12.0913 (+0.0913)
#                             leave-one-tick-out 3.709 per-mille of range
#        order 4 (quartic  ): lo frame printed -2 -> -1.96417 (+0.0358)
#                             hi frame printed 12 -> 12.1885 (+0.188)
#                             leave-one-tick-out 3.975 per-mille of range
#      -> order 1 wins the held-out test among the orders that also interpolate the
#         ticks as well as the best one does; ties within 1.25x go to the lower order.
#   Independent bow-free cross-check: linear interpolation between the two majors that
#   bracket each point, done on each ticked edge and averaged, agrees with the chosen
#   model to 0.119 in x and 10.9 in y, worst point.
#
# MARKERS. 11 'x' glyphs. Seeds come from a 7x7 morphological OPENING of the
# ink -- the joining line is ~4 px wide and vanishes, the crossing of two strokes does
# not -- which is independent of density and needs no threshold sweep. Each centre is
# then fitted with a generative model of the local ink: (stroke1 U stroke2 U incoming
# half-segment U outgoing half-segment), all four radiating from one point, rendered by
# 5x5 supersampling and scored as sum (coverage - ink)^2 over an unmasked disc of radius
# 20 px. The glyph template is global -- the plotter drew the same mark 11 times -- and
# came out as strokes at -44.05 deg (half-length 15.10 px) and +44.95 deg (15.22 px),
# stroke width 3.47 px, joining-line width 3.75 px. Frame lines and tick
# marks are MASKED, never modelled, and the mask is SYMMETRIC about each frame line: the
# ticks all protrude inward, so masking only the inward side would strip ink from one
# half of a marker that sits on a frame and bias its abscissa. Fitted centres, image px:
#   m1 ( 604.277, 583.841)  m2 ( 628.729, 677.762)  m3 ( 795.004,1157.125)
#   m4 ( 959.926,1372.366)  m5 (1124.840,1524.830)  m6 (1288.771,1697.275)
#   m7 (1451.914,1866.965)  m8 (1615.963,2019.313)  m9 (1781.056,2139.588)
#   m10(1947.629,2208.873)  m11(2113.424,2341.968)
#
# UNCERTAINTY, per point, 1 sigma, in data units -- the sigma_x and sigma_y columns.
# Quadrature of four named contributions, each measured, none assumed:
#   x: tick-fit residual 0.115 | calibration order spread (deg 1-4) 0.0545 mean, 0.0916 max |
#      the two ticked edges calibrated separately, half their disagreement 0.0534 mean, 0.0741 max |
#      glyph centre 0.00521 mean, 0.0177 max.  Total 1 sigma 0.14 mean, 0.162 max.
#      (The order term is deliberately conservative: it includes the LINEAR map, which the
#      held-out frame test rejects. Over orders 2-4 alone the spread is only 0.0845.)
#   y: tick-fit residual 0.0372 | calibration order spread (deg 1-4) 0.00519 mean, 0.00752 max |
#      the two ticked edges calibrated separately, half their disagreement 0.00419 mean, 0.0106 max |
#      glyph centre 0.000414 mean, 0.00117 max.  Total 1 sigma 0.038 mean, 0.0391 max.
#      (The order term is deliberately conservative: it includes the LINEAR map, which the
#      held-out frame test rejects. Over orders 2-4 alone the spread is only 0.00751.)
#   The glyph term is the worst case over: window radius +/-3 px, frame-mask half-width
#   3.0 and 5.0 px, tick-mask half-width 3.0 and 6.0 px, and masking the joining line out
#   ENTIRELY and fitting the two strokes alone. Worst move in px over those variants:
#      rad-3            0.11 px
#      rad+3            0.00 px
#      framemask 3.0    0.00 px
#      framemask 5.0    0.00 px
#      tickpad 3.0      0.03 px
#      tickpad 6.0      0.00 px
#      line masked out  0.29 px
#
# COUNT CHECK, independent of any detector. Walking the ink along each fitted joining
# segment in 10 px bins, every excess over that segment's own baseline sits at a segment
# endpoint; there is no interior excess on any segment -- no marker is missed and none
# is invented. Straightness of each joining segment (residual about a straight line,
# px rms): 1.20, 1.15, 1.20, 1.07, 1.12, 1.11, 1.08, 1.09, 1.11, 0.99.
#
# FREE STRUCTURAL CHECK. Nine of the eleven abscissae recover 40, 50, 60, 70, 80,
# 90, 100, 110, 120 to max 0.16 deg against a mean sigma_x of 0.14. The first two
# are genuinely off-lattice at 28.45 and 29.95, which is what the figure shows.
# The last marker sits ON the right frame, so only the TOP rail is excluded --
# a fragment sits on the top frame at x = 1957 px.
# MONOTONE by construction of the schedule: WFPRF falls from 10.43 at 28 deg to
# 0.006 at 120 deg. Fig. C25 is what fixes that sign convention (inventory 2.3).
#
# NOT transcribed. Values carry read error; see validation/out/digitize/a6810/.
x,y,sigma_x,sigma_y
28.4499,10.42855,0.1256,0.03885
29.9541,9.86889,0.1285,0.03912
40.1373,7.01289,0.1334,0.03842
50.1542,5.73592,0.1288,0.03769
60.1518,4.83460,0.1279,0.03737
70.1025,3.81297,0.1307,0.03743
80.0093,2.80733,0.1427,0.03757
89.9675,1.90543,0.1537,0.03777
99.9776,1.19592,0.1610,0.03790
110.0550,0.79271,0.1424,0.03791
120.1189,0.00590,0.1619,0.03780
